customer_unique_id,repeat_purchase_90d,repeat_purchase_flag,first_order_date,customer_state,primary_category,payment_type_group,first_order_amount,products_ordered,unique_products_ordered,number_of_categories,number_of_sellers,payment_installments,freight_to_order_ratio,any_seller_same_state,avg_customer_seller_distance_km
0000366f3b9a7992bf8c76cfdf3221e2,No,0,2018-05-10 10:56:27,SP,bed_bath_table,credit_card,141.90,1,1,1,1,8,0.08456659619450317125,t,110.56878848327955
0000b849f77a49e4a4ce2b2a4ca5be3f,No,0,2018-05-07 11:11:27,SP,health_beauty,credit_card,27.19,1,1,1,1,1,0.30489150422949613829,t,22.168363807896345
0000f46a3911fa3c0805444483337064,No,0,2017-03-10 21:05:03,SC,stationery,credit_card,86.22,1,1,1,1,8,0.19972164231036882394,f,516.9395501919145
0000f6ccb0745a6a4b88665a16c9f078,No,0,2017-10-12 20:29:41,PA,telephony,credit_card,43.62,1,1,1,1,4,0.40417239798257679963,f,2481.2906151592947
0004aac84e0df4da2b147fca70cf8255,No,0,2017-11-14 19:45:42,SP,telephony,credit_card,196.89,1,1,1,1,6,0.08578394027121743105,t,154.50810033141005
0004bd2a26a76fe21f786e4fbd80607f,No,0,2018-04-05 19:33:16,SP,garden_tools,credit_card,166.98,1,1,1,1,8,0.07773386034255599473,t,27.18991174516599
00050ab1314c0e55a6ca13cf7181fecf,No,0,2018-04-20 12:57:23,SP,telephony,boleto,35.38,1,1,1,1,1,0.20887507066139061617,t,101.54623448016218
00053a61a98854899e70ed204dd4bafe,No,0,2018-02-28 11:15:41,PR,sports_leisure,credit_card,419.18,2,2,1,1,3,0.08869697981773939596,f,503.68465022398277
0005e1862207bf6ccc02e4228effd9a0,No,0,2017-03-04 23:32:12,RJ,fashion_bags_accessories,credit_card,150.12,1,1,1,1,3,0.10071942446043165468,f,246.72082503198104
0005ef4cd20d2893f0d9fbd94d3c0d97,No,0,2018-03-12 15:22:12,MA,sports_leisure,credit_card,129.76,1,1,1,1,4,0.19158446362515413070,f,2250.6392077185246
0006fdc98a402fceb4eb0ee528f6a8d4,No,0,2017-07-18 09:23:10,ES,bed_bath_table,credit_card,29.00,1,1,1,1,2,0.52068965517241379310,f,776.7592490126012
00082cbe03e478190aadbea78542e933,No,0,2017-11-19 15:22:02,SP,luggage_accessories,boleto,126.26,1,1,1,1,1,0.37430698558530017424,t,233.48786271170442
00090324bbad0e9342388303bb71ba0a,No,0,2018-03-24 14:44:41,SP,bed_bath_table,credit_card,63.66,1,1,1,1,3,0.21536286522148916117,t,221.3199913511836
000949456b182f53c18b68d6babc79c1,No,0,2018-04-23 09:55:46,SP,computers_accessories,boleto,82.05,1,1,1,1,1,0.20914076782449725777,f,884.7430684318078
000a5ad9c4601d2bbdd9ed765d5213b3,No,0,2017-08-11 13:45:15,RS,health_beauty,credit_card,91.28,1,1,1,1,3,0.15655127081507449606,f,837.2818275701751
000bfa1d2f1a41876493be685390d6d3,No,0,2017-09-29 14:46:58,SP,fashion_bags_accessories,credit_card,46.85,1,1,1,1,4,0.25293489861259338314,t,459.1157172731267
000c8bdb58a29e7115cfc257230fb21b,No,0,2017-12-12 22:53:35,MG,bed_bath_table,credit_card,29.00,1,1,1,1,2,0.52068965517241379310,f,535.7172422399723
000d460961d6dbfa3ec6c9f5805769e1,No,0,2018-01-07 22:59:25,SP,telephony,credit_card,36.68,1,1,1,1,1,0.21210468920392584515,t,15.589381303564984
000de6019bb59f34c099a907c151d855,No,0,2017-08-17 19:10:33,SP,bed_bath_table,credit_card,257.44,2,2,1,1,4,0.10736482287134866377,t,259.384183274291
000e309254ab1fc5ba99dd469d36bdb4,No,0,2018-06-25 09:53:57,GO,fashion_underwear_beach,credit_card_plus_voucher,78.42,1,1,1,1,1,0.23616424381535322622,f,497.85915479432447
000ed48ceeb6f4bf8ad021a10a3c7b43,No,0,2018-05-20 16:26:06,SP,computers_accessories,credit_card,20.75,1,1,1,1,1,0.37927710843373493976,t,53.63589890041169
0010a452c6d13139e50b57f19f52e04e,No,0,2017-07-11 11:22:43,RS,home_confort,credit_card,325.93,1,1,1,1,10,0.08262510354984199061,f,787.8579307238853
0010fb34b966d44409382af9e8fd5b77,No,0,2018-03-05 17:08:53,SP,bed_bath_table,credit_card,61.80,1,1,1,1,6,0.19174757281553398058,t,307.298919280122
001147e649a7b1afd577e873841632dd,No,0,2017-08-31 17:12:56,PR,housewares,credit_card,212.16,2,1,1,1,1,0.19871794871794871795,f,534.8089258843991
00115fc7123b5310cf6d3a3aa932699e,No,0,2017-01-21 21:58:35,DF,sports_leisure,credit_card,76.11,1,1,1,1,1,0.21179871238996189725,f,773.6732193455014
0011805441c0d1b68b48002f1d005526,No,0,2017-04-24 13:36:48,PA,computers_accessories,credit_card,297.14,1,1,1,1,10,0.09470283368109308743,f,2207.940514557388
0011857aff0e5871ce5eb429f21cdaf5,No,0,2017-06-28 11:08:38,SP,luggage_accessories,credit_card,192.83,1,1,1,1,3,0.09593942851216097080,f,818.2711863039085
0011c98589159d6149979563c504cb21,No,0,2017-08-05 14:08:47,MG,small_appliances,credit_card,117.94,1,1,1,1,5,0.15219603188061726302,f,428.7291784381741
0012929d977a8d7280bb277c1e5f589d,No,0,2017-10-17 15:46:36,RS,watches_gifts,boleto,155.65,1,1,1,1,1,0.16543527144233858015,f,390.2981590463761
0014a5a58da615f7b01a4f5e194bf5ea,No,0,2018-01-18 20:49:36,SP,health_beauty,credit_card,99.82,1,1,1,1,3,0.11841314365858545382,t,14.176953302066517
00191a9719ef48ebb5860b130347bf33,No,0,2017-04-19 11:32:09,SP,bed_bath_table,credit_card,58.86,1,1,1,1,2,0.18620455317703024125,t,263.223276678065
001926cef41060fae572e2e7b30bd2a4,No,0,2017-08-17 12:55:47,MT,computers_accessories,credit_card,91.21,2,2,2,2,1,0.46508058326937835764,f,1252.0513307414744
00196fdb2bf9edfc35e88ebfbcf8d781,No,0,2018-02-22 19:06:44,RS,electronics,credit_card,27.00,1,1,1,1,1,0.52222222222222222222,f,841.8331211275632
0019da6aa6bcb27cc32f1249bd12da05,No,0,2018-02-11 00:55:30,SP,housewares,credit_card,87.71,1,1,1,1,1,0.08904343860449207616,t,158.5160561668274
0019e8c501c85848ac0966d45226fa1d,No,0,2018-05-01 09:25:32,MT,sports_leisure,credit_card,197.27,1,1,1,1,2,0.18897957114614487758,f,1608.382652666511
001a2bf0e46c684031af91fb2bce149d,No,0,2017-06-29 22:43:49,SP,housewares,credit_card,36.73,1,1,1,1,1,0.32262455758235774571,t,77.12007305151951
001a34eb30ecb8e3aacb07c475ca4dd1,No,0,2018-07-11 19:49:54,SP,housewares,credit_card,161.71,1,1,1,1,1,0.06066415187681652341,t,86.80229555640207
001a3a8e11d76c9a366c31a4aa2cc529,No,0,2018-05-21 01:24:25,RS,electronics,credit_card,24.23,1,1,1,1,1,0.62855963681386710689,f,857.4476291523144
001ae44fa04911a9e9577356dce6c63c,No,0,2017-11-06 17:35:49,SP,pet_shop,boleto,116.23,1,1,1,1,1,0.14049728985631936677,t,371.0557120605481
001ae5a1788703d64536c30362503e49,No,0,2017-12-08 11:32:44,RJ,garden_tools,boleto,135.08,1,1,1,1,1,0.33380219129404797157,f,245.79767112822827
001deb796b28a3a128d6113857569aa4,No,0,2018-06-22 16:07:29,RJ,housewares,credit_card,63.33,1,1,1,1,6,0.36996684036001894837,f,1012.635884611965
001f3c4211216384d5fe59b041ce1461,No,0,2017-03-19 18:34:36,SP,housewares,credit_card,35.84,1,1,1,1,3,0.30580357142857142857,t,66.16076038875025
002043098f10ba39a4600b6c52fbfe3c,No,0,2017-03-26 16:45:59,SE,office_furniture,credit_card,237.81,1,1,1,1,4,0.25575038896598124553,f,1710.4351443761677
002311514717ca8b65b09a26cdf7b91a,No,0,2018-06-27 11:34:34,SP,auto,credit_card,124.32,1,1,1,1,2,0.06491312741312741313,t,84.34633563275533
0023557a94bef0038066b5d1b3dc763e,No,0,2018-03-28 19:53:14,SP,auto,credit_card,107.44,1,1,1,1,2,0.16325390915860014892,t,456.9930321679766
00256bf7b05c08f6a5849df3d0a64f1f,No,0,2018-06-01 17:41:18,SP,furniture_decor,credit_card,57.73,1,1,1,1,1,0.31578035683353542352,f,608.8547797990773
0027324a96d26a2bc7d69262f83c8403,No,0,2018-03-25 11:51:37,SP,perfumery,credit_card,46.78,1,1,1,1,2,0.18982471141513467294,t,78.89601053160173
0028a7d8db7b0247652509358ad8d755,No,0,2017-12-13 15:49:39,SP,office_furniture,credit_card_plus_voucher,354.87,1,1,1,1,1,0.22788626821089413024,f,362.92209806627636
0028cfeb9dfcd3628a56d5b6400deef5,No,0,2018-01-07 00:12:45,SP,electronics,boleto,118.20,1,1,1,1,1,0.18866328257191201354,t,252.67358348152683
00293787e2aec37a9c253b63fdfe2049,No,0,2017-10-27 14:25:35,RJ,health_beauty,boleto,257.88,2,1,1,1,1,0.07786567395687916861,f,805.0846717769865
0029bd580d3012618731f5abb174a07f,No,0,2017-11-02 13:24:21,SP,furniture_decor,boleto,52.38,1,1,1,1,1,0.23825887743413516609,t,102.7553048106979
002aba8c1af80acacef6e011f9f23262,No,0,2018-02-27 12:47:48,RJ,construction_tools_construction,credit_card,217.74,1,1,1,1,3,0.08193258014145310921,f,707.3511950522575
002ae492472e45ad6ebeb7a625409392,No,0,2017-10-08 23:56:02,DF,health_beauty,credit_card,218.66,2,2,1,1,4,0.52446720936613921156,f,864.5591696927744
002b4cd83fabaffaa475f78ea5ef3e08,No,0,2017-02-01 13:53:16,MG,fashion_bags_accessories,credit_card,64.42,1,1,1,1,1,0.22539583980130394287,f,288.1199004708911
002bdeb33da5b1b3ce8b9c822f749c82,No,0,2017-12-05 19:04:42,SC,health_beauty,credit_card,38.09,1,1,1,1,1,0.37017589918613809399,f,491.1530096485218
002cdf87d4c03f08f7eb4551a923affc,No,0,2017-10-31 17:32:22,SP,office_furniture,credit_card,228.67,1,1,1,1,10,0.13854025451524030262,t,111.39514817851325
002d3bd901608f67c3fc11eaaa842b13,No,0,2018-01-15 18:39:36,SP,drinks,boleto,28.76,1,1,1,1,1,0.32232267037552155772,t,30.85703353255863
002d71b244beb91ca7030b15ab526446,No,0,2017-05-22 22:24:51,SP,books_general_interest,boleto,130.56,1,1,1,1,1,0.11917892156862745098,f,480.1709752856625
002da6dde369f6a8b4c999ed61eb5a87,No,0,2018-04-12 11:03:44,SP,housewares,credit_card,52.38,1,1,1,1,1,0.14108438335242458954,t,8.112379446615236
002eb8b96288f3804e21d2777ac29895,No,0,2017-07-22 13:24:06,MG,health_beauty,credit_card,137.99,1,1,1,1,6,0.13109645626494673527,f,405.2935156828944
002ed12115742033f015cb3c269ccf68,No,0,2018-01-30 13:50:27,SP,electronics,credit_card,109.79,1,1,1,1,3,0.10829765916750159395,t,
002ef00822613c94613e60e03b169fef,No,0,2018-02-14 20:56:34,PR,bed_bath_table,credit_card,114.04,1,1,1,1,6,0.18537355313924938618,f,448.62008717558956
002feefec5af0a3b26ee7839c66d205e,No,0,2017-10-29 12:19:51,RJ,garden_tools,credit_card,77.57,1,1,1,1,1,0.22779425035451849942,f,668.1123503156153
